水资源一级区,地表水源,地下水源,其他水源,供水总量,生活用水,工业用水,农业用水,生态用水,用水总量
Zone_Name,Supply_Surface,Supply_Ground,Supply_Other,Supply_Total,Use_Living,Use_Industry,Use_Agri,Use_Eco,Use_Total
全 国,4892.4,784,251.6,5928,926.8,971,3648.4,381.8,5928
北方 6区,1819.4,734.7,148.8,2702.9,317,212.1,1938.4,235.4,2702.9
南方 4区,3073,49.3,102.8,3225.1,609.8,758.9,1710,146.4,3225.1
松花江区,272.6,131.3,9.1,413,26.9,20.5,344,21.6,413
辽 河 区,82,91,10.1,183.1,31.2,17.7,120.7,13.3,183.1
海 河 区,209.6,125.5,45.9,381,72.9,39.4,187.5,81.1,381
黄 河 区,250.8,109.9,30.6,391.4,57.6,50.4,248.1,35.4,391.4
淮 河 区,445.5,119.5,33.9,598.9,103.7,66.1,388.5,40.6,598.9
长 江 区,1970.7,29.4,53.4,2053.4,350.7,585.6,1031.6,85.5,2053.4
其中：太湖流域,336.3,0,9.3,345.6,62.4,212.5,61.2,9.5,345.6
东南诸河区,277.1,2.1,14,293.1,71.5,57.5,141.9,22.3,293.1
珠 江 区,723.7,14.8,34.1,772.7,174.9,110.9,449.7,37.2,772.7
西南诸河区,101.5,3.1,1.3,105.9,12.7,5,86.8,1.5,105.9
西北诸河区,558.9,157.4,19.3,735.6,24.6,18.1,649.6,43.3,735.6
